
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
33,2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,,Syracuse University,2014,2016,170,32.9,15.0,5.6,6.3,1.7,0.6,.410,.440,.257,.693,2.9,.025
34,2014,NBA,2,45,CHH,Dwight Powell,22.347,F,,Stanford University,2015,2016,65,13.6,5.5,3.8,0.6,0.5,0.4,.500,.520,.188,.724,2.9,.157
35,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,,University of Miami,2014,2016,157,19.3,5.3,1.9,2.7,1.0,0.1,.429,.465,.328,.750,2.6,.042
36,2013,NBA,2,44,DAL,Mike Muscala,22.002,F-C,,Bucknell University,2014,2016,86,12.1,4.4,2.7,0.6,0.3,0.5,.495,.529,.333,.895,2.5,.116
37,2014,NBA,1,2,MIL,Jabari Parker,19.108,F,,Duke University,2015,2016,58,27.8,11.5,4.8,1.4,0.9,0.3,.477,.488,.190,.762,2.5,.075
38,2014,NBA,1,25,HOU,Clint Capela,20.044,C,,,2015,2016,49,18.0,6.3,6.1,0.6,0.8,1.1,.574,.574,,.395,2.5,.134
39,2015,NBA,1,4,NYK,Kristaps Porzingis,19.332,F-C,,,2016,2016,39,27.8,13.6,8.0,1.1,0.7,2.0,.424,.452,.336,.867,2.5,.111
40,2014,NBA,2,41,DEN,Nikola Jokic,19.132,C,,,2016,2016,36,18.8,8.6,5.5,1.6,0.7,0.5,.543,.560,.381,.779,2.3,.164
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
41,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,,University of Detroit Mercy,2014,2016,129,19.2,6.3,2.1,2.5,0.6,0.2,.415,.441,.324,.714,2.1,.041
42,2013,NBA,2,34,HOU,Isaiah Canaan,22.043,G,,Murray State University,2014,2016,108,20.2,8.7,1.8,1.8,0.6,0.1,.365,.380,.357,.794,2.0,.044
43,2013,NBA,2,50,ATL,James Ennis,23.002,F,,California State University Long Beach,2015,2016,71,15.3,4.5,2.5,0.7,0.4,0.3,.407,.455,.333,.824,2.0,.091
44,2014,NBA,1,16,CHI,Jusuf Nurkic,19.312,C,,,2015,2016,67,17.6,7.0,6.2,0.8,0.8,1.1,.437,.439,.000,.622,1.7,.069
45,2014,NBA,1,30,SAS,Kyle Anderson,20.284,G-F,,University of California Los Angeles,2015,2016,68,11.5,2.9,2.2,0.9,0.4,0.3,.426,.441,.318,.667,1.6,.100
46,2014,NBA,2,39,PHI,Jerami Grant,20.111,F,,Syracuse University,2015,2016,105,23.0,7.3,3.6,1.2,0.6,1.2,.384,.444,.276,.626,1.6,.033
47,2015,NBA,1,27,LAL,Larry Nance Jr.,22.180,F,,University of Wyoming,2016,2016,34,20.6,6.1,5.1,0.6,0.7,0.3,.540,.544,.333,.714,1.3,.089
48,2014,NBA,1,21,OKC,Mitch McGary,22.025,F,,University of Michigan,2015,2016,41,12.8,5.1,4.3,0.4,0.4,0.4,.526,.532,.000,.609,1.2,.111
49,2015,NBA,2,37,PHI,Richaun Holmes,21.258,F,,Bowling Green State University,2016,2016,28,14.1,6.3,2.3,0.6,0.4,0.8,.587,.688,.200,.700,1.2,.147
50,2014,NBA,1,9,CHH,Noah Vonleh,18.311,F,,Indiana University,2015,2016,65,13.4,3.2,3.6,0.4,0.4,0.3,.395,.418,.267,.769,1.1,.059
