Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
33,2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,,Syracuse University,2014,2016,170,32.9,15,5.6,6.3,1.7,0.6,0.41,0.44,0.257,0.693,2.9,0.025
34,2014,NBA,2,45,CHH,Dwight Powell,22.347,F,,Stanford University,2015,2016,65,13.6,5.5,3.8,0.6,0.5,0.4,0.5,0.52,0.188,0.724,2.9,0.157
35,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,,University of Miami,2014,2016,157,19.3,5.3,1.9,2.7,1,0.1,0.429,0.465,0.328,0.75,2.6,0.042
36,2013,NBA,2,44,DAL,Mike Muscala,22.002,F-C,,Bucknell University,2014,2016,86,12.1,4.4,2.7,0.6,0.3,0.5,0.495,0.529,0.333,0.895,2.5,0.116
37,2014,NBA,1,2,MIL,Jabari Parker,19.108,F,,Duke University,2015,2016,58,27.8,11.5,4.8,1.4,0.9,0.3,0.477,0.488,0.19,0.762,2.5,0.075
38,2014,NBA,1,25,HOU,Clint Capela,20.044,C,,,2015,2016,49,18,6.3,6.1,0.6,0.8,1.1,0.574,0.574,,0.395,2.5,0.134
39,2015,NBA,1,4,NYK,Kristaps Porzingis,19.332,F-C,,,2016,2016,39,27.8,13.6,8,1.1,0.7,2,0.424,0.452,0.336,0.867,2.5,0.111
40,2014,NBA,2,41,DEN,Nikola Jokic,19.132,C,,,2016,2016,36,18.8,8.6,5.5,1.6,0.7,0.5,0.543,0.56,0.381,0.779,2.3,0.164
41,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,,University of Detroit Mercy,2014,2016,129,19.2,6.3,2.1,2.5,0.6,0.2,0.415,0.441,0.324,0.714,2.1,0.041
42,2013,NBA,2,34,HOU,Isaiah Canaan,22.043,G,,Murray State University,2014,2016,108,20.2,8.7,1.8,1.8,0.6,0.1,0.365,0.38,0.357,0.794,2,0.044
43,2013,NBA,2,50,ATL,James Ennis,23.002,F,,California State University Long Beach,2015,2016,71,15.3,4.5,2.5,0.7,0.4,0.3,0.407,0.455,0.333,0.824,2,0.091
44,2014,NBA,1,16,CHI,Jusuf Nurkic,19.312,C,,,2015,2016,67,17.6,7,6.2,0.8,0.8,1.1,0.437,0.439,0,0.622,1.7,0.069
45,2014,NBA,1,30,SAS,Kyle Anderson,20.284,G-F,,University of California Los Angeles,2015,2016,68,11.5,2.9,2.2,0.9,0.4,0.3,0.426,0.441,0.318,0.667,1.6,0.1
46,2014,NBA,2,39,PHI,Jerami Grant,20.111,F,,Syracuse University,2015,2016,105,23,7.3,3.6,1.2,0.6,1.2,0.384,0.444,0.276,0.626,1.6,0.033
47,2015,NBA,1,27,LAL,Larry Nance Jr.,22.18,F,,University of Wyoming,2016,2016,34,20.6,6.1,5.1,0.6,0.7,0.3,0.54,0.544,0.333,0.714,1.3,0.089
48,2014,NBA,1,21,OKC,Mitch McGary,22.025,F,,University of Michigan,2015,2016,41,12.8,5.1,4.3,0.4,0.4,0.4,0.526,0.532,0,0.609,1.2,0.111
49,2015,NBA,2,37,PHI,Richaun Holmes,21.258,F,,Bowling Green State University,2016,2016,28,14.1,6.3,2.3,0.6,0.4,0.8,0.587,0.688,0.2,0.7,1.2,0.147
50,2014,NBA,1,9,CHH,Noah Vonleh,18.311,F,,Indiana University,2015,2016,65,13.4,3.2,3.6,0.4,0.4,0.3,0.395,0.418,0.267,0.769,1.1,0.059
51,2015,NBA,1,6,SAC,Willie Cauley-Stein,21.316,F-C,,University of Kentucky,2016,2016,23,17.7,5.1,4.9,0.3,0.5,1,0.623,0.623,,0.512,1.1,0.133
52,2015,NBA,1,9,CHO,Frank Kaminsky,22.087,F-C,,University of Wisconsin,2016,2016,36,20.3,7.1,3.6,1.3,0.4,0.6,0.385,0.429,0.314,0.761,1.1,0.075
53,2013,NBA,2,38,WAS,Nate Wolters,22.049,G,,South Dakota State University,2014,2015,79,19.7,5.8,2.3,2.6,0.5,0.2,0.426,0.456,0.261,0.635,1,0.03
54,2013,NBA,2,55,MEM,Joffrey Lauvergne,21.276,F,,,2015,2016,45,14.4,6,4.3,0.9,0.3,0.3,0.449,0.473,0.325,0.755,1,0.075
55,2014,NBA,1,11,DEN,Doug McDermott,22.18,F,,Creighton University,2015,2016,70,14.8,5.5,1.7,0.4,0.1,0.1,0.429,0.451,0.399,0.714,1,0.048
56,2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,,University of North Carolina,2015,2016,79,16.8,5.8,2.3,0.6,0.4,0.2,0.335,0.374,0.313,0.846,1,0.035
57,2015,NBA,1,13,PHO,Devin Booker,18.242,G,,University of Kentucky,2016,2016,33,18.1,7.6,1.8,1.1,0.5,0.1,0.477,0.485,0.456,0.784,1,0.077
58,2015,NBA,1,23,POR,Rondae Hollis-Jefferson,20.178,F,,University of Arizona,2016,2016,19,22.1,5.2,6.1,1.4,1.4,0.4,0.481,0.5,0.2,0.667,0.9,0.101
59,2014,NBA,2,60,SAS,Cory Jefferson,23.188,F,,Baylor University,2015,2016,56,10,3.5,2.8,0.3,0.2,0.4,0.453,0.485,0.125,0.554,0.8,0.071
