
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
132,2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,,,2016,2016,24,29.5,10.7,3.5,5.8,1.0,0.7,.312,.332,.250,.682,-1.9,-0.128
133,2013,NBA,1,28,SAS,Livio Jean-Charles,19.236,F,,,,,,,,,,,,,,,,,
134,2013,NBA,2,32,OKC,Alex Abrines,19.335,G,,,,,,,,,,,,,,,,,
135,2013,NBA,2,42,PHI,Pierre Jackson,21.308,G,,Baylor University,,,,,,,,,,,,,,,
136,2013,NBA,2,45,POR,Marko Todorovic,21.074,F,,,,,,,,,,,,,,,,,
137,2013,NBA,2,51,ORL,Romero Osby,,,,University of Oklahoma,,,,,,,,,,,,,,,
138,2013,NBA,2,53,IND,Colton Iverson,24.004,C,,Colorado State University,,,,,,,,,,,,,,,
139,2013,NBA,2,54,WAS,Arsalan Kazemi,23.072,F,,University of Oregon,,,,,,,,,,,,,,,
140,2013,NBA,2,57,PHO,Alex Oriakhi,23.012,F,,University of Missouri,,,,,,,,,,,,,,,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
141,2013,NBA,2,58,SAS,Deshaun Thomas,21.308,F,,Ohio State University,,,,,,,,,,,,,,,
142,2013,NBA,2,59,MIN,Bojan Dubljevic,21.252,F-C,,,,,,,,,,,,,,,,,
143,2013,NBA,2,60,MEM,Janis Timma,21.000,F,,,,,,,,,,,,,,,,,
144,2014,NBA,1,3,PHI,Joel Embiid,20.107,C,,University of Kansas,,,,,,,,,,,,,,,
145,2014,NBA,1,12,ORL,Dario Saric,20.084,F,,,,,,,,,,,,,,,,,
146,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,,,,,,,,,,,,,,,,,
147,2014,NBA,1,29,OKC,Josh Huestis,22.195,F,,Stanford University,,,,,,,,,,,,,,,
148,2014,NBA,2,37,TOR,DeAndre Daniels,22.077,F,,University of Connecticut,,,,,,,,,,,,,,,
149,2014,NBA,2,50,PHO,Alec Brown,21.343,F-C,,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,
150,2014,NBA,2,51,NYK,Thanasis Antetokounmpo,21.349,F,,,,,,,,,,,,,,,,,
151,2014,NBA,2,52,PHI,Vasilije Micic,20.169,G,,,,,,,,,,,,,,,,,
152,2014,NBA,2,53,MIN,Alessandro Gentile,21.231,F,,,,,,,,,,,,,,,,,
153,2014,NBA,2,54,PHI,Nemanja Dangubic,21.079,G,,,,,,,,,,,,,,,,,
154,2014,NBA,2,55,MIA,Semaj Christon,21.242,G,,Xavier University,,,,,,,,,,,,,,,
155,2014,NBA,2,57,IND,Louis Labeyrie,22.141,F,,,,,,,,,,,,,,,,,
156,2014,NBA,2,58,SAS,Jordan McRae,23.096,G,,University of Tennessee,,,,,,,,,,,,,,,
157,2014,NBA,2,59,TOR,Xavier Thames,23.164,G,,San Diego State University,,,,,,,,,,,,,,,
158,2015,NBA,1,26,SAS,Nikola Milutinov,20.182,C,,,,,,,,,,,,,,,,,
159,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,,Syracuse University,,,,,,,,,,,,,,,
160,2015,NBA,1,30,GSW,Kevon Looney,19.144,F,,University of California Los Angeles,,,,,,,,,,,,,,,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
161,2015,NBA,2,31,MIN,Cedi Osman,20.083,F,,,,,,,,,,,,,,,,,
162,2015,NBA,2,35,PHI,Willy Hernangomez,21.034,C,,,,,,,,,,,,,,,,,
163,2015,NBA,2,36,MIN,Rakeem Christmas,23.212,F,,Syracuse University,,,,,,,,,,,,,,,
164,2015,NBA,2,39,CHO,Juan Pablo Vaulet,19.099,F,,,,,,,,,,,,,,,,,
165,2015,NBA,2,42,UTA,Olivier Hanlan,22.135,G,,Boston College,,,,,,,,,,,,,,,
166,2015,NBA,2,44,PHO,Andrew Harrison,20.245,G,,University of Kentucky,,,,,,,,,,,,,,,
167,2015,NBA,2,45,BOS,Marcus Thornton,22.141,G,,College of William &amp; Mary,,,,,,,,,,,,,,,
168,2015,NBA,2,47,PHI,Arturas Gudaitis,22.011,C,,,,,,,,,,,,,,,,,
169,2015,NBA,2,48,OKC,Dakari Johnson,19.281,C,,University of Kentucky,,,,,,,,,,,,,,,
170,2015,NBA,2,49,WAS,Aaron White,22.293,F,,University of Iowa,,,,,,,,,,,,,,,
171,2015,NBA,2,50,ATL,Marcus Eriksson,21.207,G,,,,,,,,,,,,,,,,,
172,2015,NBA,2,51,ORL,Tyler Harvey,21.348,G,,Eastern Washington University,,,,,,,,,,,,,,,
173,2015,NBA,2,52,DAL,Satnam Singh,19.202,C,,,,,,,,,,,,,,,,,
174,2015,NBA,2,53,CLE,Sir'Dominic Pointer,23.055,G-F,,St. John's University,,,,,,,,,,,,,,,
175,2015,NBA,2,54,UTA,Dani Diez,22.084,F,,,,,,,,,,,,,,,,,
176,2015,NBA,2,55,SAS,Cady Lalanne,23.069,C,,University of Massachusetts Amherst,,,,,,,,,,,,,,,
177,2015,NBA,2,57,DEN,Nikola Radicevic,21.066,G,,,,,,,,,,,,,,,,,
178,2015,NBA,2,58,PHI,J.P. Tokoto,21.288,G-F,,University of North Carolina,,,,,,,,,,,,,,,
179,2015,NBA,2,59,ATL,Dimitrios Agravanis,20.192,F-C,,,,,,,,,,,,,,,,,
180,2015,NBA,2,60,PHI,Luka Mitrovic,22.101,F,,,,,,,,,,,,,,,,,
